brand,model,firmware,option,exe_can_1,exe_can_2,exe_can_3,exe_lin,read_can_1,read_can_2,read_can_3,read_lin,explanation
Acura,MDX II (2007-2012 г.),All configurations,Engine temperature,-,-,-,-,-,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,Outside temperature,-,-,-,-,-,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,Central lock,+,-,-,-,+,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,Windows closing at arming,-,-,-,-,-,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,Side mirrors,-,-,-,-,-,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,Turn lights,-,-,-,-,-,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,Headlights,-,-,-,-,-,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,Vehicle security system,+,-,-,-,-,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,Step-by-step disarming,+,-,-,-,-,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,Turn off ACC,-,-,-,-,-,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,Engine start via CAN,-,-,-,-,-,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,Heating,-,-,-,-,-,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,Light track,-,-,-,-,-,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,Horn,-,-,-,-,-,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,Additional function,-,-,-,-,-,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,Speed,-,-,-,-,-,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,Automatic start via original remote,-,-,-,-,-,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,Keyless access block,-,-,-,-,-,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,Code immobilizer,-,-,-,-,-,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,Command before autostart,-,-,-,-,-,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,Sound indication 1 via CAN,-,-,-,-,-,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,Sound indication 2 via CAN,-,-,-,-,-,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,Light indication 1 via CAN,-,-,-,-,-,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,Light indication 2 via CAN,-,-,-,-,-,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,VALET button by CAN,-,-,-,-,-,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,Distance to empty,-,-,-,-,-,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,Washer fluid level,-,-,-,-,-,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,Power windows position,-,-,-,-,-,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,Tires pressure (TPMS),-,-,-,-,-,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,OBD II diagnostic trouble codes,-,-,-,-,-,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,Battery charger connector status,-,-,-,-,-,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,Fast charging,-,-,-,-,-,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,Slow charging,-,-,-,-,-,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,Remaining distance on HV battery,-,-,-,-,-,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,"""Ready"" status",-,-,-,-,-,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,SOH,-,-,-,-,-,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,SOC,-,-,-,-,-,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,HV battery temperature,-,-,-,-,-,-,-,-,
Acura,MDX II (2007-2012 г.),All configurations,Explanation 1,,,,,,,,,"Connect to CAN: one wire bus in the socket under steering wheel cover, CanHigh - contact #4"
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Model code,,,,,,,,,2618
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,CAN Block,,,,,,,,,No
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Immobilizer bypass,,,,,,,,,Yes
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Alarms with immobilizer bypass support,,,,,,,,,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Driver door,-,-,-,-,+,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Passenger door,-,-,-,-,+,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Rear left door,-,-,-,-,+,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Rear right door,-,-,-,-,+,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Sunroof,-,-,-,-,-,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Front hood,-,-,-,-,+,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Trunk,-,-,-,-,+,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Ignition,-,-,-,-,+,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Brake,-,-,-,-,+,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Marker lights,+,-,-,-,+,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Neutral,-,-,-,-,+,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Tachometer,-,-,-,-,+,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,"""Slave"" function",-,-,-,-,+,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,"Trunk ""Slave"" function",-,-,-,-,+,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Factory alarm triggering,-,-,-,-,-,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Fuel level,-,-,-,-,-,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Interior temperature,-,-,-,-,-,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Engine temperature,-,-,-,-,-,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Outside temperature,-,-,-,-,-,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Central lock,+,-,-,-,+,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Windows closing at arming,+,-,-,-,-,-,-,-,depends on vehicles configuration
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Side mirrors,-,-,-,-,-,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Turn lights,-,-,-,-,-,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Headlights,-,-,-,-,-,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Vehicle security system,+,-,-,-,-,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Step-by-step disarming,+,-,-,-,-,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Turn off ACC,-,-,-,-,-,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Engine start via CAN,-,-,-,-,-,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Heating,-,-,-,-,-,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Light track,-,-,-,-,-,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Horn,-,-,-,-,-,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Additional function,-,-,-,-,-,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Speed,-,-,-,-,+,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Automatic start via original remote,-,-,-,-,-,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Keyless access block,-,-,-,-,-,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Code immobilizer,-,-,-,-,-,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Command before autostart,-,-,-,-,-,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Sound indication 1 via CAN,-,-,-,-,-,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Sound indication 2 via CAN,-,-,-,-,-,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Light indication 1 via CAN,-,-,-,-,-,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Light indication 2 via CAN,-,-,-,-,-,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,VALET button by CAN,-,-,-,-,-,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Distance to empty,-,-,-,-,-,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Washer fluid level,-,-,-,-,-,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Power windows position,-,-,-,-,-,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Tires pressure (TPMS),-,-,-,-,-,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,OBD II diagnostic trouble codes,-,-,-,-,-,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Battery charger connector status,-,-,-,-,-,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Fast charging,-,-,-,-,-,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Slow charging,-,-,-,-,-,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Remaining distance on HV battery,-,-,-,-,-,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,"""Ready"" status",-,-,-,-,-,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,SOH,-,-,-,-,-,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,SOC,-,-,-,-,-,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,HV battery temperature,-,-,-,-,-,-,-,-,
Acura,MDX III +re.1/2 (YD3) (2013-2016 г.),All configurations,Explanation 1,,,,,,,,,"Connect to CAN: in the dashboard wiring twisted pair CanHigh - pink, CanLow - blue."
Acura,RDX (2006-2012 г.),All configurations,Model code,,,,,,,,,2613
Acura,RDX (2006-2012 г.),All configurations,CAN Block,,,,,,,,,No
Acura,RDX (2006-2012 г.),All configurations,Immobilizer bypass,,,,,,,,,Yes
Acura,RDX (2006-2012 г.),All configurations,Alarms with immobilizer bypass support,,,,,,,,,"Pandora Professional, Pandora Control, Light, Pandora Optima, Pandora Elite, Pandora Advanced, Light Pro/ Light +, Light Pro v2, Pandora Elite v2, Smart Pro v3, Light v3"
Acura,RDX (2006-2012 г.),All configurations,Driver door,-,-,-,-,+,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Passenger door,-,-,-,-,+,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Rear left door,-,-,-,-,+,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Rear right door,-,-,-,-,+,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Sunroof,-,-,-,-,-,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Front hood,-,-,-,-,-,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Trunk,-,-,-,-,+,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Ignition,-,-,-,-,+,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Brake,-,-,-,-,+,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Marker lights,+,-,-,-,+,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Neutral,-,-,-,-,+,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Tachometer,-,-,-,-,+,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,"""Slave"" function",-,-,-,-,+,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,"Trunk ""Slave"" function",-,-,-,-,-,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Factory alarm triggering,-,-,-,-,-,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Fuel level,-,-,-,-,-,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Interior temperature,-,-,-,-,-,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Engine temperature,-,-,-,-,-,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Outside temperature,-,-,-,-,-,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Central lock,-,-,-,-,+,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Windows closing at arming,-,-,-,-,-,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Side mirrors,-,-,-,-,-,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Turn lights,-,-,-,-,-,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Headlights,-,-,-,-,-,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Vehicle security system,+,-,-,-,-,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Step-by-step disarming,+,-,-,-,-,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Turn off ACC,-,-,-,-,-,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Engine start via CAN,-,-,-,-,-,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Heating,-,-,-,-,-,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Light track,-,-,-,-,-,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Horn,-,-,-,-,-,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Additional function,-,-,-,-,-,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Speed,-,-,-,-,-,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Automatic start via original remote,+,-,-,-,-,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Keyless access block,+,-,-,-,-,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Code immobilizer,+,-,-,-,-,-,-,-,tooltip for code immobilizer 2
Acura,RDX (2006-2012 г.),All configurations,Command before autostart,-,-,-,-,-,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Sound indication 1 via CAN,-,-,-,-,-,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Sound indication 2 via CAN,-,-,-,-,-,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Light indication 1 via CAN,-,-,-,-,-,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Light indication 2 via CAN,-,-,-,-,-,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,VALET button by CAN,-,-,-,-,-,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Distance to empty,-,-,-,-,-,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Washer fluid level,-,-,-,-,-,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Power windows position,-,-,-,-,-,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Tires pressure (TPMS),-,-,-,-,-,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,OBD II diagnostic trouble codes,-,-,-,-,-,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Battery charger connector status,-,-,-,-,-,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Fast charging,-,-,-,-,-,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Slow charging,-,-,-,-,-,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Remaining distance on HV battery,-,-,-,-,-,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,"""Ready"" status",-,-,-,-,-,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,SOH,-,-,-,-,-,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,SOC,-,-,-,-,-,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,HV battery temperature,-,-,-,-,-,-,-,-,
Acura,RDX (2006-2012 г.),All configurations,Explanation 1,,,,,,,,,"Connect to CAN: one wire bus in the socket under steering wheel cover, CanHigh - contact #4"
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Model code,,,,,,,,,2611
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,CAN Block,,,,,,,,,No
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Driver door,-,-,-,-,+,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Passenger door,-,-,-,-,+,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Rear left door,-,-,-,-,+,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Rear right door,-,-,-,-,+,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Sunroof,-,-,-,-,-,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Front hood,-,-,-,-,+,-,-,-,depends on vehicles configuration
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Trunk,-,-,-,-,+,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Ignition,-,-,-,-,+,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Brake,-,-,-,-,+,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Marker lights,+,-,-,-,+,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Neutral,-,-,-,-,+,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Tachometer,-,-,-,-,+,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,"""Slave"" function",-,-,-,-,+,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,"Trunk ""Slave"" function",-,-,-,-,+,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Factory alarm triggering,-,-,-,-,-,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Fuel level,-,-,-,-,-,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Interior temperature,-,-,-,-,-,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Engine temperature,-,-,-,-,-,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Outside temperature,-,-,-,-,-,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Central lock,+,-,-,-,+,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Windows closing at arming,+,-,-,-,-,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Side mirrors,-,-,-,-,-,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Turn lights,-,-,-,-,-,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Headlights,-,-,-,-,-,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Vehicle security system,+,-,-,-,-,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Step-by-step disarming,-,-,-,-,-,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Turn off ACC,-,-,-,-,-,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Engine start via CAN,-,-,-,-,-,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Heating,-,-,-,-,-,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Light track,-,-,-,-,-,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Horn,-,-,-,-,-,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Additional function,-,-,-,-,-,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Speed,-,-,-,-,-,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Automatic start via original remote,-,-,-,-,-,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Keyless access block,-,-,-,-,-,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Code immobilizer,-,-,-,-,-,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Command before autostart,-,-,-,-,-,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Sound indication 1 via CAN,-,-,-,-,-,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Sound indication 2 via CAN,-,-,-,-,-,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Light indication 1 via CAN,-,-,-,-,-,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Light indication 2 via CAN,-,-,-,-,-,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,VALET button by CAN,-,-,-,-,-,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Distance to empty,-,-,-,-,-,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Washer fluid level,-,-,-,-,-,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Power windows position,-,-,-,-,-,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Tires pressure (TPMS),-,-,-,-,-,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,OBD II diagnostic trouble codes,-,-,-,-,-,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Battery charger connector status,-,-,-,-,-,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Fast charging,-,-,-,-,-,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Slow charging,-,-,-,-,-,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Remaining distance on HV battery,-,-,-,-,-,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,"""Ready"" status",-,-,-,-,-,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,SOH,-,-,-,-,-,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,SOC,-,-,-,-,-,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,HV battery temperature,-,-,-,-,-,-,-,-,
Acura,RDX II (TB3/TB4) (2013-2015 г.),All configurations,Explanation 1,,,,,,,,,Connect to CAN: one wire bus in a socket under the wheel hood CanHigh - contact #4
Acura,RDX III+re. (2018-2021 г.),null,Model code,,,,,,,,,2622
Acura,RDX III+re. (2018-2021 г.),null,CAN Block,,,,,,,,,No
Acura,RDX III+re. (2018-2021 г.),null,Immobilizer bypass,,,,,,,,,Yes
Acura,RDX III+re. (2018-2021 г.),null,Alarms with immobilizer bypass support,,,,,,,,,
Acura,RDX III+re. (2018-2021 г.),null,Tooltip for immobilizer bypass support,,,,,,,,,
Acura,RDX III+re. (2018-2021 г.),null,Driver door,-,-,-,-,+,-,-,-,
Acura,RDX III+re. (2018-2021 г.),null,Passenger door,-,-,-,-,+,-,-,-,
Acura,RDX III+re. (2018-2021 г.),null,Rear left door,-,-,-,-,+,-,-,-,
Acura,RDX III+re. (2018-2021 г.),null,Rear right door,-,-,-,-,+,-,-,-,
Acura,RDX III+re. (2018-2021 г.),null,Sunroof,-,-,-,-,-,-,-,-,
Acura,RDX III+re. (2018-2021 г.),null,Front hood,-,-,-,-,+,-,-,-,
Acura,RDX III+re. (2018-2021 г.),null,Trunk,-,-,-,-,+,-,-,-,
Acura,RDX III+re. (2018-2021 г.),null,Ignition,-,-,-,-,+,-,-,-,
Acura,RDX III+re. (2018-2021 г.),null,Brake,-,-,-,-,+,-,-,-,
Acura,RDX III+re. (2018-2021 г.),null,Marker lights,-,-,-,-,+,-,-,-,
Acura,RDX III+re. (2018-2021 г.),null,Neutral,-,-,-,-,+,-,-,-,
Acura,RDX III+re. (2018-2021 г.),null,Tachometer,-,-,-,-,+,-,-,-,
Acura,RDX III+re. (2018-2021 г.),null,"""Slave"" function",-,-,-,-,+,-,-,-,
Acura,RDX III+re. (2018-2021 г.),null,"Trunk ""Slave"" function",-,-,-,-,+,-,-,-,
Acura,RDX III+re. (2018-2021 г.),null,Factory alarm triggering,-,-,-,-,-,-,-,-,
Acura,RDX III+re. (2018-2021 г.),null,Fuel level,-,-,-,-,-,-,-,-,
Acura,RDX III+re. (2018-2021 г.),null,Interior temperature,-,-,-,-,-,-,-,-,
Acura,RDX III+re. (2018-2021 г.),null,Engine temperature,-,-,-,-,-,-,-,-,
Acura,RDX III+re. (2018-2021 г.),null,Outside temperature,-,-,-,-,-,-,-,-,
